n9    2.2700    0.0095  ;NH3
h1    1.3593    0.0208  ;H bonded to aliphatic carbon with 1 electrwd. group
h2    1.2593    0.0208  ;H bonded to aliphatic carbon with 2 electrwd. group
h3    1.1593    0.0208  ;H bonded to aliphatic carbon with 3 electrwd. group
hx    1.0593    0.0208  ;H bonded to C next to positively charged group
h4    1.4235    0.0161  ;H bonded to non-sp3 carbon with 1 electrwd. group
h5    1.3735    0.0161  ;H bonded to non-sp3 carbon with 2 electrwd. group
cx    1.9069    0.1078  ;Sp3 carbons in triangle systems
cy    1.9069    0.1078  ;Sp3 carbons in square systems
c5    1.9069    0.1078  ;Sp3 carbons in five-memberred rings
c6    1.9069    0.1078  ;Sp3 carbons in six-memberred rings
c     1.8606    0.0988  ;Sp2 C carbonyl group
cs    1.8606    0.0988  ;Sp2 C in c=S
ca    1.8606    0.0988  ;Sp2 C in pure aromatic systems
cc    1.8606    0.0988  ;Sp2 carbons in non-pure aromatic systems
cd    1.8606    0.0988  ;Sp2 carbons in non-pure aromatic systems, identical to cc
ce    1.8606    0.0988  ;Inner Sp2 carbons in conjugated systems
cf    1.8606    0.0988  ;Inner Sp2 carbons in conjugated systems, identical to ce
cp    1.8606    0.0988  ;Head Sp2 C that connect two rings in biphenyl sys.
cq    1.8606    0.0988  ;Head Sp2 C that connect two rings in biphenyl sys. identical to cp
cz    1.8606    0.0988  ;Sp2 carbon in guanidine group
cg    1.9525    0.1596  ;Inner Sp carbons in conjugated systems
ch    1.9525    0.1596  ;Inner Sp carbons in conjugated systems, identical to cg
cu    1.8606    0.0988  ;Sp2 carbons in triangle systems
cv    1.8606    0.0988  ;Sp2 carbons in square systems
nb    1.8993    0.0941  ;Sp2 N in pure aromatic systems
nc    1.8993    0.0941  ;Sp2 N in non-pure aromatic systems
nd    1.8993    0.0941  ;Sp2 N in non-pure aromatic systems, identical to nc
ne    1.8993    0.0941  ;Inner Sp2 N in conjugated systems
nf    1.8993    0.0941  ;Inner Sp2 N in conjugated systems, identical to ne
no    1.8886    0.0858  ;Nitro N
n7    1.9686    0.0522  ;like n3, but only has one attached hydrogen atom
n8    2.0486    0.0323  ;like n3, but only has two attached hydrogen atoms
n4    1.4028    3.8748  ;Sp3 N with four connected atoms
nx    1.4528    2.5453  ;like n4, but only has one hydrogen atom
ny    1.5028    1.6959  ;like n4, but only has two hydrogen atoms
nz    1.5528    1.1450  ;like n4, but only has three three hydrogen atoms
ns    1.8352    0.1174  ;amind N, with 1 attached hydrogen atom
nt    1.8852    0.0851  ;amide N, with 2 attached hydrogen atoms
nu    1.8403    0.1545  ;like nh, but only has one attached hydrogen atom
nv    1.8903    0.1120  ;like nh, but only has two attached hydrogen atoms
ni    1.7852    0.1636  ;like n in RG3
nj    1.7852    0.1636  ;like n in RG4
nk    1.4528    2.5453  ;like n4/nx/ny in RG3
nl    1.4528    2.5453  ;like n4/nx/ny in RG4
nm    1.7903    0.2150  ;like nh in RG3
nn    1.7903    0.2150  ;like nh in RG4
np    1.8886    0.0858  ;like n3 in RG3
nq    1.8886    0.0858  ;like n3 in RG4
n5    1.9686    0.0522  ;like n7 in RG3
n6    1.9686    0.0522  ;like n7 in RG4
s     1.9825    0.2824  ;S with one connected atom
s2    1.9825    0.2824  ;S with two connected atom, involved at least one double bond
s4    1.9825    0.2824  ;S with three connected atoms
s6    2.2777    0.0614  ;S with four connected atoms
sx    1.9825    0.2824  ;Special s4 in conjugated systems
sy    2.2777    0.0614  ;Special s6 in conjugated systems
sh    1.9825    0.2824  ;Sp3 S connected with hydrogen
ss    1.9825    0.2824  ;Sp3 S in thio-ester and thio-ether
sp    1.9825    0.2824  ;not described
sq    1.9825    0.2824  ;not described
p2    2.0732    0.2295  ;Phosphate with two connected atoms
p3    2.0732    0.2295  ;Phosphate with three connected atoms, such as PH3
p4    2.0732    0.2295  ;Phosphate with three connected atoms, such as O=P(CH3)2
p5    2.0732    0.2295  ;Phosphate with four connected atoms, such as O=P(OH)3
pb    2.0732    0.2295  ;Sp2 P in pure aromatic systems
px    2.0732    0.2295  ;Special p4 in conjugated systems
py    2.0732    0.2295  ;Special p5 in conjugated systems
pc    2.0732    0.2295  ;Sp2 P in non-pure aromatic systems
pd    2.0732    0.2295  ;Sp2 P in non-pure aromatic systems, identical to pc
pe    2.0732    0.2295  ;Inner Sp2 P in conjugated systems
pf    2.0732    0.2295  ;Inner Sp2 P in conjugated systems, identical to pe

;The following ones are AMBER atom types, taken from parm19.dat in AmberTools 21, corresponding to AMBER19SB with parmbsc0 and OL3
H         0.6000      0.0157   ;H bonded to nitrogen atoms                      
HO        0.0000      0.0000   ;hydroxyl group                                  
HS        0.6000      0.0157   ;hydrogen bonded to sulphur (pol?)               
HC        1.4870      0.0157   ;H aliph. bond. to C without electrwd.group      
H1        1.3870      0.0157   ;H aliph. bond. to C with 1 electrwd. group      
H2        1.2870      0.0157   ;H aliph. bond. to C with 2 electrwd. groups      
H3        1.1870      0.0157   ;H aliph. bond. to C with 3 electrwd. groups       
HP        1.1000      0.0157   ;H bonded to C next to positively charged gr     
HA        1.4590      0.0150   ;H arom. bond. to C without elctrwd. groups      
H4        1.4090      0.0150   ;H arom. bond. to C with 1 electrwd. group       
H5        1.3590      0.0150   ;H arom.at C with 2 elctrwd. gr,+HCOO group      
HZ        1.4590      0.0150   ;H bond sp C (Howard et al.JCC,16,243,1995)      
O         1.6612      0.2100   ;carbonyl group oxygen                           
O2        1.6612      0.2100   ;carboxyl and phosphate group oxygen             
OH        1.7210      0.2104   ;oxygen in hydroxyl group                        
OS        1.6837      0.1700   ;ether and ester oxygen                          
OP        1.8500      0.1700   ;2- phosphate oxygen                             
C*        1.9080      0.0860   ;sp2 arom. 5 memb.ring w/1 subst. (TRP)      
CA        1.9080      0.0860   ;sp2 C pure aromatic (benzene)               
CB        1.9080      0.0860   ;sp2 aromatic C, 5&6 membered ring junction  
CC        1.9080      0.0860   ;sp2 aromatic C, 5 memb. ring HIS            
CD        1.9080      0.0860   ;sp2 C atom in the middle of: C=CD-CD=C      
CK        1.9080      0.0860   ;sp2 C 5 memb.ring in purines (dA,dG)        
CM        1.9080      0.0860   ;sp2 C  pyrimidines in pos. 5 & 6 (dT,dC)    
CN        1.9080      0.0860   ;sp2 C aromatic 5&6 memb.ring junct.(TRP)    
CQ        1.9080      0.0860   ;sp2 C in 5 mem.ring of purines between 2 N  
CR        1.9080      0.0860   ;sp2 arom as CQ but in HIS                   
CV        1.9080      0.0860   ;sp2 arom. 5 memb.ring w/1 N and 1 H (HIS)   
CW        1.9080      0.0860   ;sp2 arom. 5 memb.ring w/1 N-H and 1 H (HIS) 
CY        1.9080      0.0860   ;nitrile C (Howard et al.JCC,16,243,1995)    
CZ        1.9080      0.0860   ;sp C (Howard et al.JCC,16,243,1995)         
CP        1.9080      0.0860   ;sp2 C 5 memb.ring in purines (G)            
CS        1.9080      0.0860   ;sp2 C  pyrimidines in pos. 5 & 6 (U)        
CI        1.9080      0.1094   ;parmbsc0                                        
C5        1.9080      0.0860   ;sp2 C 5 memb.ring in purines (A)                
C4        1.9080      0.0860   ;sp2 C  pyrimidines in pos. 5 & 6 (C)            
CT        1.9080      0.1094   ;sp3 aliphatic C                                 
CX        1.9080      0.1094   ;protein C-alpha (new to ff10)                   
XC        1.9080      0.1094   ;protein C-alpha (new to ff19)                   
C         1.9080      0.0860   ;sp2 C carbonyl group                            
N         1.8240      0.1700   ;sp2 nitrogen in amide groups                    
NA        1.8240      0.1700   ;sp2 N in 5 memb.ring w/H atom (HIS)         
N2        1.8240      0.1700   ;sp2 N in amino groups                       
N*        1.8240      0.1700   ;sp2 N                                       
NC        1.8240      0.1700   ;sp2 N in 6 memb.ring w/LP (ADE,GUA)         
NB        1.8240      0.1700   ;sp2 N in 5 memb.ring w/LP (HIS,ADE,GUA)     
NT        1.8240      0.1700   ;sp3 N for amino groups amino groups         
NY        1.8240      0.1700   ;nitrile N (Howard et al.JCC,16,243,1995)    
N3        1.8240      0.1700   ;sp3 N for charged amino groups (Lys, etc)       
S         2.0000      0.2500   ;S in disulfide linkage,pol:JPC,102,2399,98      
SH        2.0000      0.2500   ;S in cystine                                    
P         2.1000      0.2000   ;phosphate,pol:JACS,112,8543,90,K.J.Miller       
MG        0.7926      0.8947   ;magnesium                                       
C0        1.7131      0.459789 ;calcium                                         
Zn        1.10        0.0125   ;Zn2+                                            
F         1.75        0.061    ;fluorine (not fluoride!)                        
Cl        1.948       0.265    ;chlorine  (Applequist) (not chloride!)          
Br        2.22        0.320    ;bromine  (Applequist) (not bromide!)            
I         2.35        0.40     ;iodine   (Applequist) (not iodide!)             
EP        0.00        0.0000   ;extra point                                     
                          
